B_values,r_vK1,r_vK2,r_cK1,r_cK2
13.542746732103064,100.22412115016289,102.11392356847907,72.545482650671,71.63024969564485
18.062768339620842,75.26450317661725,77.16158354958957,54.71444803876164,53.79693096143561
22.57605462160388,60.31395605930934,62.296924459022534,44.03489290204725,43.115068475201234
27.09415250943126,50.336067431263935,52.24787120528081,36.90831984771266,35.98615888100132
31.599742374907148,43.22702287143642,45.14626306015484,31.831548767725867,30.907031011501676
36.125536679241684,37.8711567701464,39.797928362259675,28.007458581693825,27.080546515178874
40.628240196309186,33.72658349311495,35.66090978368585,25.048847955462804,24.11952689014808
45.128066586528746,30.41078772800582,32.31078313151747,22.682422535177118,21.75066709606142
49.677906828546874,27.66875323538119,29.61845111378232,20.726006162118907,19.79176182283649
54.18830501886252,25.404865666867597,27.362319430775337,19.111228563415107,18.174489517521604
58.69148826142727,23.491616007163806,25.456876651115817,17.747004307799706,16.807747222570388
63.24664854440372,21.833367157384764,23.80658972516906,16.565038119500905,15.623206020468642
67.6920998797931,20.430143804097995,22.411199981640138,15.565246125280735,14.620873829238962
72.18953070655961,19.18629319746097,21.17533884955956,14.679386390931693,13.732416709474657
76.76676544338856,18.06993509798528,20.067178888024824,13.884699703001461,12.93505800506241
81.33446165978981,17.081083129230123,19.086575789568684,13.181139077716933,12.228802063293587
85.7798674590091,16.21975442720886,18.233340692978278,12.568642304142823,11.613654279952408
90.35235506343388,15.42215901945594,17.444138316348376,12.001795650113728,11.044051988901076
94.79922712472145,14.720211327289862,16.750419827398265,11.503234442701123,10.542782616607083
99.23947195491917,14.082017234653225,16.120508898602697,11.050249018686971,10.087065108284149
103.86091795281982,13.475672253719567,15.522855994105711,10.620172610829101,9.654115256372167
108.37661003772504,12.93309591796706,14.988843284973273,10.23561665200176,9.266721977374441
113.00067873266796,12.422379770920248,14.486969106608774,9.873930508229874,8.90209984892093
117.38297652285453,11.975452798487764,14.048490407718209,9.557682464857617,8.583040574277343
121.76797277227152,11.560401966115904,13.641960481071932,9.26424039932316,8.286757330052536
126.49329708880744,11.145300299969964,13.236117242466635,8.971035768371825,7.990459174066404
130.78782260725458,10.79401624315932,12.893316734040786,8.723149408115646,7.739732450369828
135.3841997595862,10.442687209072801,12.551141224554646,8.47548032482912,7.488992659643519
139.85232516419302,10.123254078375457,12.240679924894478,8.250538297731094,7.2610349328658215
144.62544206399483,9.80377561452391,11.930866773796799,8.025822767263923,7.033064161438627
149.20864269278343,9.516202333378066,11.652653829013625,7.823795613686321,6.827878249795408
153.53353088677713,9.260544435289113,11.405900929751395,7.644408205709735,6.645480169413862
158.1166213610093,9.004848303575882,11.159718720882974,7.465221704796945,6.463071242684578
162.35729702969533,8.78108010308414,10.9448251516186,7.308615534866239,6.303453805693811
166.83171072736414,8.557277377803981,10.73046147876969,7.152196756098258,6.14382666242955
171.5597349180182,8.333437240673419,10.516680230268866,6.995984404811763,5.984189048804092
175.83093163796886,8.141542060222486,10.33394774087624,6.862268755475468,5.847347835772316
180.32023202021486,7.949614790336014,10.151729300748654,6.7287360954620885,5.7104977223454885
185.04477958406326,7.757652955128963,9.970072572849519,6.595403817086621,5.573638064318516
190.02356289125777,7.56565381808279,9.789031274346438,6.462291566763744,5.4367681537185995
194.38190148968116,7.4056238649614965,9.638677243138142,6.351548750140197,5.322701502819381
198.94485692371123,7.245563976799336,9.488832112858539,6.240988648008058,5.208626698053867
202.75241399402145,7.117493100250808,9.36935181740331,6.152682945259502,5.117360623949816
207.72183590563964,6.957373870911697,9.22053706033557,6.042493862921348,5.003269755867552
211.87627262375244,6.829252424464817,9.101947375227752,5.954509468044224,4.911990049129779
216.20027818750248,6.70110631126638,8.983801487270357,5.866685637394326,4.820703733420037
220.7044506497421,6.572934028162703,8.866133149697141,5.779034902325079,4.729410433930156
225.40029002526853,6.444733948126303,8.748979610368753,5.691571120445051,4.63810974696675
230.30029633016568,6.31650430736754,8.632382074256757,5.604309654872999,4.546801237115612
235.41808069305827,6.188243190812489,8.51638624105326,5.517267583287918,4.455484434076933
239.40821765395756,6.092025451314678,8.429814593569922,5.4521413773631835,4.386991084909214
243.53594554454304,5.995787892490975,8.343633435773318,5.38715808868181,4.318492555435846
247.80850599269291,5.899529504131824,8.257868382727946,5.322327351594563,4.249988601102512
252.23365788541955,5.803249206889543,8.172547327236588,5.257659678499511,4.181478961739294
