B_values,m_hK1,m_hK2,m_eK1,m_eK2
0,0.6486823710409937,0.6486823710409937,0.45084685670193353,0.45084685670193353
14.9978,0.6502656376658298,0.6563654231175383,0.45459551701939016,0.45226409375510046
20.0035,0.6508283598178094,0.6589718165368393,0.4558670912235479,0.4527560943829277
25.0017,0.6513895441993792,0.6615775891691128,0.4571372761840309,0.45324711182517347
30.0052,0.6519506292135951,0.6641894451174541,0.45840934584567483,0.45373840489011175
34.9949,0.6525094679623812,0.666797402789855,0.4596784468789122,0.45422809328005465
40.007,0.6530701182450463,0.6694204447490482,0.4609538193176383,0.4547197340931529
44.9935,0.6536272195089525,0.6720335135870653,0.4622232861268101,0.4552086267111094
49.9768,0.654183280781681,0.6746483488687217,0.4634925649906964,0.45569697027441025
55.0154,0.6547448293677349,0.6772957784541115,0.46477660914456326,0.45619050338615635
60.0104,0.6553008241802596,0.6799238010985141,0.4660501989012059,0.4566795240053744
64.9975,0.6558552505471354,0.6825511773621368,0.4673224474639063,0.4571675321159684
70.042,0.6564153880596736,0.6852125344717528,0.46861011240673045,0.4576609411746578
74.9651,0.6569613695893711,0.6878133751783744,0.46986749727423466,0.4581422441389315
79.9458,0.657513068363135,0.6904482636703048,0.47114034420694983,0.4586289533156572
85.0148,0.6580738701285974,0.6931337005891736,0.47243658559833135,0.45912407227568724
90.0733,0.6586328149140526,0.6958173954006275,0.473730963199693,0.4596179338880923
94.9963,0.6591761368759492,0.6984329735249445,0.47499151296954856,0.4600983591748702
100.0601,0.6597343154911928,0.7011272037777972,0.47628897254427965,0.4605923002043302
104.9847,0.6602765047758806,0.7037512282695425,0.47755166138402244,0.4610724614360341
109.902,0.660817243458424,0.7063751263940832,0.4788133498444405,0.4615517022724602
115.02,0.6613793691212076,0.7091101564412077,0.4801274855327743,0.4620502851651214
120.0209,0.6619279635625459,0.7117866311318697,0.4814125180442246,0.4625372489273136
125.1418,0.6624890421388646,0.7145315088003308,0.4827294078163096,0.4630356869844972
129.9949,0.6630201493613821,0.717136796943301,0.48397841518964113,0.46350786726679205
134.8511,0.6635509666900935,0.7197475486183083,0.4852291595583106,0.463980148518646
140.0841,0.664122292944585,0.7225652854914466,0.48657808469035324,0.4644888740426771
144.84,0.6646409144179539,0.7251300915890696,0.4878050495776915,0.46495103259987364
149.9303,0.6651953383532138,0.72787938248118,0.4891193526727058,0.4654454794063238
154.8785,0.6657336497614637,0.7305561691065345,0.49039809361748715,0.4659259377026015
160.1644,0.6663080082102825,0.7334202948495939,0.4917653555151203,0.4664389847686008
165.24,0.6668588372781683,0.7361749938201326,0.49307944093065315,0.4669314191631852
170.0296,0.6673780152719797,0.7387785429378296,0.4943205861462528,0.46739592248985656
175.1051,0.6679275486363063,0.7415419155611797,0.49563704203349807,0.46788797156931844
179.8014,0.6684354396152559,0.7441028826583526,0.4968562736954681,0.46834308976033034
184.7566,0.6689707163044966,0.7468092629863354,0.4981439079624672,0.4688231192627814
189.9926,0.6695356557318067,0.7496738295575766,0.49950588970169896,0.46933016480290246
