B_values,m_hK1,m_hK2,m_eK1,m_eK2
0,0.5325115066342204,0.5325115066342204,0.4178292633793444,0.4178292633793444
14.9978,0.536269779127313,0.5386562538114001,0.42357837389194053,0.4190441145009454
20.0035,0.5375634101196031,0.5407400818399286,0.4255309089739904,0.4194756832136138
25.0017,0.5388568599488934,0.542819388827031,0.4274841558831934,0.4199063158366417
30.0052,0.5401534449967217,0.5448994969647506,0.4294431802452869,0.42033711774419785
34.9949,0.5414481985647621,0.5469724370900096,0.43140053317827975,0.4207664416648337
40.007,0.5427505336054763,0.5490532566697875,0.4333705060975388,0.42119740737271616
44.9935,0.5440479976380473,0.551122051519872,0.43533431997904526,0.4216258957878584
49.9768,0.5453464075330045,0.5531881209685261,0.4373008269119543,0.4220538362847109
55.0154,0.5466610603492419,0.5552757269475999,0.439293274418245,0.4224862579963601
60.0104,0.547966121904942,0.5573438184836564,0.44127257296267813,0.4229146613933423
64.9975,0.5492708961100553,0.5594071929238371,0.4432528708548529,0.42334211500768726
70.042,0.5505925675316604,0.5614929495271878,0.4452603315319032,0.42377423697263916
74.9651,0.5518841952002987,0.5635270792785149,0.4472236872314406,0.42419569739211327
79.9458,0.5531927294219643,0.5655835917191863,0.4492143348236302,0.4246218337510492
85.0148,0.5545263521897104,0.5676751451946063,0.45124485339223647,0.425055274708931
90.0733,0.5558590822713445,0.5697608784662851,0.4532757870348935,0.42548755753946427
94.9963,0.5571579467597604,0.5717893654895344,0.45525687301449297,0.4259080257523524
100.0601,0.5584958164360586,0.5738743916729143,0.45729932239270926,0.42634026921138984
104.9847,0.5597987606993705,0.5759007241767917,0.4592903310154466,0.4267604032618003
109.902,0.5611015675058294,0.5779226419421593,0.46128303456804304,0.4271796833957668
115.02,0.5624594605629843,0.5800255870530625,0.4633620782912676,0.42761583555561256
120.0209,0.5637881775871462,0.5820789423674576,0.4653985648791351,0.42804177572736996
125.1418,0.5651507320309694,0.5841800700038201,0.46748914219940046,0.4284777049776947
129.9949,0.5664438687471938,0.5861699261475266,0.4694753521706873,0.4288906267133688
134.8511,0.5677395823821524,0.5881596259689981,0.4714676628173324,0.4293035965865249
140.0841,0.569137857198416,0.5903021974107324,0.4736201378021846,0.42974839055407604
144.84,0.5704104558118006,0.5922480321103519,0.4755814257868792,0.4301524321197414
149.9303,0.5717744069429869,0.5943291491184763,0.4776859682495435,0.4305846636780827
154.8785,0.5731021911725114,0.5963507188624191,0.4797372111645088,0.4310046308098945
160.1644,0.5745226723829975,0.598508662853651,0.4819344570749606,0.4314530461965221
165.24,0.5758886435312612,0.600579166278955,0.484050175357172,0.4318834109194751
170.0296,0.5771794352774224,0.6025315500652854,0.4860520190056474,0.4322893355858447
175.1051,0.5785492073636768,0.604598977789788,0.488179138122016,0.4327193024839971
179.8014,0.5798184002748225,0.6065105467234135,0.4901526816882295,0.433116972342697
184.7566,0.5811593849047488,0.6085260166287964,0.49224064511072957,0.43353638377700093
189.9926,0.5825784274672592,0.6106540859979261,0.4944533283721687,0.4339793732964234
