B_values,m_hK1,m_hK2,m_eK1,m_eK2
0,0.40224555114633576,0.40224555114633576,0.3124292645998954,0.3124292645998954
13.80467351392184,0.40563516258239163,0.40813084572653746,0.3177951998439141,0.31350499352102873
18.412115696957137,0.4068038972053292,0.4101252576519352,0.31961857438943614,0.31388783713188767
23.012692288258624,0.4079723242648558,0.4121144815563847,0.32144320822786887,0.3142695993526488
27.618173545435706,0.4091434431821889,0.4141036095368053,0.3232738770493616,0.3146512618860053
32.210904865817625,0.4103127716371645,0.4160850226804733,0.3251036620577049,0.3150313675846955
36.824231393914275,0.411488813734002,0.4180731009186479,0.32694596882445015,0.3154126795219623
41.41402054176552,0.41266032794069624,0.4200488266885324,0.3287832781211768,0.3157915550001822
46.000876916998344,0.4138325707380944,0.4220210867302439,0.3306239085147837,0.3161697036655323
50.63871444907554,0.4150193539285361,0.42401302564075843,0.3324896761284643,0.3165515672446045
55.23634709087141,0.41619735870140345,0.4259854681413849,0.3343440234981761,0.3169296406546936
59.826625242467365,0.41737498796989697,0.4279525380114259,0.33620023551071987,0.3173066372015785
64.46988570904693,0.41856775292116105,0.429940053470845,0.33808289441244754,0.3176875098211015
69.0013153754975,0.4197332957904815,0.43187750492986027,0.3399251873926775,0.3180587527749325
73.58572985530058,0.42091398853533596,0.43383539769422175,0.34179413275962983,0.31843388208691314
78.25149171206783,0.42211721178410444,0.43582574013422715,0.3437016315346868,0.31881520299881216
82.90753056633673,0.4233195249137288,0.4378096228870542,0.34561068976613646,0.3191952664361009
87.43891381591385,0.42449118861080387,0.4397381662497088,0.34747405478624543,0.3195647149124301
92.09983672720989,0.42569793957280216,0.4417195431734906,0.34939637647412486,0.31994427702686934
96.63271459745289,0.4268730950844548,0.4436442438988339,0.351271529876185,0.3203129804949536
101.15883706103381,0.42804803753910986,0.4455638599866285,0.3531495470562887,0.32068071438613277
105.86966525750353,0.4292725676689507,0.44755945165819977,0.35511032387326136,0.3210630137597446
110.47269418174282,0.4304706987983825,0.44950704071302744,0.3570323757822902,0.3214361345362341
115.18619580016383,0.4316992535673322,0.4514989673739438,0.3590069696905571,0.3218177740613227
119.65325048493473,0.43286513712075886,0.453384489630312,0.3608844201861901,0.3221790563743897
124.12305581914207,0.434033267693899,0.45526896526301414,0.3627690741480167,0.322540172631812
128.93977141809387,0.4352937773700369,0.4572972146368378,0.36480689265298477,0.32292888537755327
133.31735625018962,0.4364409199381489,0.45913830618681195,0.36666523837150766,0.3232817767242995
138.002630750995,0.43767033396090815,0.46110642170734534,0.36866097842059536,0.32365907207402744
142.55717302000474,0.43886707565231203,0.4630172486783491,0.37060786210479973,0.3240254478217936
147.42260554628476,0.4401472883967682,0.4650559096128311,0.3726952083923496,0.3244164100530927
152.09444867979383,0.4413783003307334,0.46701091542924217,0.374706988505219,0.32479141073313833
156.50298342413566,0.44254149620003147,0.46885344179534083,0.3766122240789689,0.3251449158234668
161.1747142726173,0.44377579837594994,0.47080352562799255,0.37863857481304514,0.3255191482653273
165.49740775885607,0.444919408759004,0.47260566141214766,0.3805203948035362,0.3258650787789067
170.05835994118678,0.4461276462667757,0.47450476769738165,0.382513204930862,0.3262297239968905
174.8778276318277,0.4474061479231057,0.47650886798515646,0.38462720830323605,0.3266146488813325
179.2316324691346,0.4485626950953416,0.478316977548375,0.3865443511930257,0.32696204276529284
183.8077592555806,0.44977991469391126,0.48021499593421196,0.38856708052214683,0.32732683317653355
188.6236830788709,0.4510627081633881,0.4822097798836146,0.39070445132107545,0.32771036455063046
193.69875975363874,0.4524165189716713,0.4843088989922717,0.39296659359796554,0.3281141240139335
198.14139185808003,0.45360329711169745,0.486143882364391,0.39495518538956687,0.3284672267780068
202.79259823972507,0.4548474704282931,0.4880624512622924,0.3970456280978275,0.32883657043967657
206.67379629215998,0.45588698486473966,0.48966138255292246,0.3987967419048153,0.3291445088068679
211.73933051500705,0.4572455033388709,0.49174544588070185,0.40109157402852047,0.3295460620158535
215.9741171253072,0.4583827886636234,0.4934852963983528,0.4030183177728916,0.3298814588456859
220.3817521686808,0.45956800635867395,0.495293801342896,0.40503181929097565,0.3302302575594257
224.97303867219497,0.4608042484126902,0.49717508736087124,0.4071381481530457,0.3305932815845683
229.75969906947572,0.46209487798555965,0.49913361681652507,0.4093439599085673,0.33097142357699405
234.75447513620347,0.46344355969830203,0.5011742224411632,0.41165656924350036,0.33136565289748676
239.97124125034134,0.4648542940570219,0.5033021463383505,0.4140840344746111,0.33177702408512144
244.03855042407594,0.4659556837518174,0.5049587996555336,0.41598532667597515,0.33209748936540934
248.24611163828413,0.4670964294423,0.5066703489077617,0.41796031345517226,0.3324287646608142
252.60130657930668,0.46827867450209254,0.5084395523028011,0.4200134291347921,0.33277140970209856
257.1120441967943,0.4695047202534543,0.5102693547362706,0.4221494756972593,0.3331260238162732
261.786808636736,0.47077704071361526,0.5121629037472832,0.4243736621282585,0.33349324951948306
266.63471250037924,0.4720982990143832,0.5142924829632937,0.4266916489739429,0.3338737765125161
271.6655561324619,0.47347136571767184,0.5161549523854356,0.4291095989452888,0.3342683461323918
276.8898937503938,0.4748993392856447,0.5182609282975911,0.43163423455747113,0.3346777563228266
280.4858663965029,0.47588346836881007,0.5197083903049855,0.43338019554090595,0.33495936321668646
286.05843327855257,0.4774105316510201,0.5219480677202333,0.4360993126414674,0.33539545255610775
289.8981437923586,0.47846413957716755,0.5234888680713762,0.43798253987838087,0.33569572054963714
293.84233622490774,0.4795476057083625,0.5250695275807082,0.43992532953440655,0.33600398050455266
