B_values,r_vK1,r_vK2,r_cK1,r_cK2
14.988419189522881,306.21713375545727,308.18832896898715,237.4227227500646,234.50502124874416
19.990947844849575,230.17731104625992,232.14567096416476,178.94487761036206,176.02405485129128
24.986022186476877,184.6314434826456,186.59703862262464,143.92001235859647,140.9961128945852
29.986421767274365,154.23513058859115,156.19807253503132,120.54573272087596,117.62046925846431
34.97297810888672,132.5798975863631,134.5399002328558,103.89414707352051,100.9642407059426
39.98189568969915,116.2649990677702,118.2223454773778,91.34978586017155,88.41644499507842
44.965257568568646,103.64078680688343,105.59540830014302,81.64423103861125,78.70676205670539
49.94543519064655,93.54172263487081,95.49360001362565,73.87924819048861,70.93876470006325
54.98096558501418,85.19056670591252,87.13968537389661,67.45984220383234,64.51530795342995
59.97284353454873,78.29604598320662,80.24248589789534,62.16037199389876,59.21182290857312
64.95673634905415,72.46999586296386,74.41372970542498,57.68257506504403,54.729919472315
69.99815469256284,67.42065918614011,69.36166230688758,53.802272925945466,50.84572636203047
74.9181527859698,63.14841344116839,65.08673843049083,50.51957508435117,47.559121308252685
79.89567912098313,59.361644572693216,61.29731292118242,47.61028517875863,44.64578588506501
84.9615283406107,55.96333717971265,57.89628903876295,44.99987468477425,42.03127488394139
90.0168208138524,52.95353762981193,54.88377196805462,42.688365811720814,39.71536274153378
94.93676851015609,50.33216682801393,52.25976595865858,40.67535982147081,37.698308643855015
99.99736384651834,47.90497231157889,49.82987228211792,38.81207392683272,35.830543166721974
104.91893432666018,45.76920226619034,47.691464847135904,37.17280420262162,34.18699484623456
109.83317012650375,43.82760571944352,45.74723003114402,35.682873329732125,32.69262634602628
114.94795010788505,41.98320517659091,43.90012775648383,34.26783307450058,31.273030585276103
119.94568706909746,40.33296842320512,42.247210147174115,33.002143437547794,30.002768716493048
125.06336971737892,38.77989395111832,40.691449477435064,31.811400985385358,28.80734896906915
129.9134726981083,37.42099993726994,39.32997734577865,30.76968335680382,27.76115108279749
134.76656219545143,36.15920492022776,38.06561492519703,29.802825938931353,26.789718419329844
139.99630938512567,34.897469762829985,36.80110242693719,28.836443356354895,25.818167612597936
144.7492705062256,33.82989800368171,35.73102584033253,28.018907921604033,24.99612785428441
149.8363055719396,32.76239809139582,34.660845132845395,27.201810304808742,24.174079838525277
154.78139816507294,31.79196629352778,33.687798124366296,26.459285256026867,23.426630626373004
160.06403974067268,30.821589195338685,32.71464282053123,25.71724501859952,22.67922863149655
165.1364917042856,29.948288368164363,31.838673581420768,25.049618234149037,22.006540531976228
169.9230566812214,29.172087206434412,31.059972098599513,24.456566886454816,21.408517377982797
174.9953867314071,28.395907796536502,30.281134534359527,23.863793636301065,20.810471279426906
179.68874959393523,27.716798530994623,29.599569128134988,23.34545027062433,20.287191467641918
184.64080174809882,27.037737135911254,28.917908797443026,22.82738858938441,19.763885242021587
189.87353702031217,26.35869497972547,28.23614057927757,22.309650232596926,19.240512542789023
194.60067902081786,25.77668837560693,27.651670446938986,21.866196343569726,18.791897184416996
199.56920699581747,25.19474245779894,27.067133572540186,21.423026119950567,18.343263051212155
204.7980945153585,24.612815903498674,26.482484177545132,20.980155892212377,17.89459861079251
210.30835714805872,24.03091711116607,25.89772340407398,20.537653002679793,17.445960729011674
215.1319433211794,23.546061506723753,25.41036333921611,20.169239701944974,17.07201648340196
220.18198893904744,23.061223803968744,24.92290955409801,19.80109325217538,16.6980735836895
224.39599829673253,22.673385433705533,24.53288475859039,19.5068372467493,16.398915459389663
229.8959002157701,22.188606395593524,24.045263391348577,19.139287442875993,16.02491863373308
234.4938182200855,21.800807713119738,23.655088301772118,18.845512457071624,15.725712672022231
239.279406347026,21.413047518029074,23.264861102526034,18.551999794567646,15.426505745235833
244.26439397925571,21.025305948588414,22.874554343785128,18.25879498178885,15.127248169291823
249.46150874477178,20.637599885514245,22.48416578542529,17.965873348994972,14.828001429917485
254.88458502183204,20.24992178352898,22.093702402817232,17.673293361765136,14.528725661703785
260.5486869112061,19.862274419025702,21.703150446737997,17.381080727864934,14.229420632041322
264.9647663503791,19.57156270942783,21.41017605406075,17.16215370406546,14.00493493088634
269.53312439090286,19.28087264825319,21.117150057941586,16.9434587440661,13.780419878035394
274.26177569600645,18.99020562651402,20.82406353082674,16.725014065264496,13.55591305555898
279.1593074048637,18.699559874638595,20.53091479056227,16.506847584900832,13.331401966722368
284.2349311758612,18.408938092065522,20.237708114499075,16.28894799323683,13.10684053324612
289.4985410124512,18.11833272543105,19.944422242608685,16.071360735026147,12.882289197849715
294.9607776353277,17.827760187883786,19.65107611808306,15.854090068061321,12.657722686295465
300.63310028216085,17.53721086378986,19.35764931575513,15.63719440706924,12.433134601429742
304.5374262598513,17.343529178023818,19.16199225014588,15.492784371986184,12.283383171490849
310.5878387021,17.053018052771353,18.8684136646015,15.276526863833114,12.058779604965611
314.7568029799805,16.859361583255723,18.6726514789154,15.132560275077108,11.909014211645687
319.03920846270137,16.665734131212293,18.476870021372058,14.98882074329794,11.759246212868266
325.6858586390076,16.37529488211287,18.18308554771923,14.773592513791913,11.53458323357335
330.2729834085712,16.18169654624102,17.987178952043028,14.63038124145843,11.384795560926412
334.99116888583643,15.988109221479725,17.791225396522123,14.487422022926253,11.23499666261405
339.8461133624428,15.794538779066041,17.595226051975164,14.344724421286742,11.085178673140721
344.84385032365515,15.60098264528814,17.3991747944273,14.202286588722675,10.93537352800167
349.9907734628142,15.407437955657315,17.20306412873567,14.060141016138523,10.785539552108109
355.2936639698265,15.213924473554952,17.006912534214862,13.918287261079014,10.635692960132342
360.7597203385931,15.020414169877775,16.810690263593468,13.776725765093738,10.485833567084999
363.556307317962,14.923671891655902,16.712561073277985,13.706111936328018,10.410903405935622
369.28160349619765,14.730195163744058,16.516248035399446,13.565085556730187,10.261034241088483
375.1901091521368,14.536733961588398,16.319877854612724,13.424457614944563,10.111151029141029
381.2907613334724,14.343291632412951,16.123431885313376,13.284228844873262,9.96125434450398
384.41609544276315,14.246573051859743,16.025176024549808,13.214266829288267,9.886306937100397
390.8230303668092,14.053162606856407,15.828619513987764,13.074687486674181,9.736383951152547
394.1072575127487,13.956464755718706,15.730320925174201,13.00505751220188,9.66141956082994
400.8441337095479,13.76308527328267,15.533656603359642,12.866199656459134,9.511479208371819
404.2996865863543,13.666402486025165,15.43529585455075,12.796973633696686,9.436503160956018
411.3926635440096,13.473054579833756,15.238500511662902,12.658919772029225,9.286540934711141
415.03330658422215,13.376388581426665,15.140075462728616,12.590081798774374,9.211551545427938
418.7389611072955,13.279726800138667,15.041624925212693,12.521416637015843,9.136559773456145
426.35239676379183,13.08642064371843,14.844652564448158,12.384586278160517,8.986563687161295
430.2638866423588,12.989773831740958,14.746132682809268,12.316423583006797,8.911564436472968
434.2478115186768,12.893136072154066,14.647585224326846,12.248420087399184,8.836551757693941
438.30620228053357,12.796497717313509,14.549004954665724,12.180622307895746,8.761543455833904
446.654891847782,12.60324696027379,14.35178653594864,12.045574957331596,8.611498365473816
450.9496504232414,12.506633424103411,14.2531299490007,11.978364623355047,8.536476366247362
455.327802369098,12.410019213837316,14.15444774368827,11.911345009862464,8.461443942873048
459.7918004315402,12.313415229280823,14.055743508591437,11.844570816876903,8.386405229970862
464.34419449521886,12.216811123026062,13.956996364494419,11.778047471508247,8.311363640024046
468.987636440171,12.120220732313298,13.85822455292342,11.711730500786944,8.236321418205462
473.72488529310203,12.023633685901686,13.75942940568603,11.645707390433529,8.16126691959044
478.558812694052,11.927044817953801,13.660587517485919,11.579947322048826,8.086210144195082
483.4924087012072,11.830466226598542,13.56171918729249,11.514452880528296,8.01114882315548
488.52878795851143,11.733892684393739,13.462812393340245,11.449240270910305,7.936077181618
493.67119625281157,11.637327044751256,13.363876889758314,11.384367758676271,7.861008235674446
498.92301748954355,11.540762488369962,13.264904427693832,11.31980328894886,7.785924278871833
