B_values,r_vK1,r_vK2,r_cK1,r_cK2
12.042300026618495,137.89547304062464,139.77438054738616,103.66908665881009,102.1524906126742
16.061533155707277,103.7442358523844,105.62335866634398,78.26111916495641,76.74485257555642
20.07477718875294,83.2885046875003,85.16787682973239,63.04197628747276,61.52598497070668
24.092299733560917,69.63691601388875,71.51657096609885,52.88482437692656,51.36905592568505
28.098700062109817,59.91079749461579,61.79076645807074,45.648078132369406,44.13248040990594
32.123066311414554,52.58358323548438,54.46389869203062,40.19604080677388,38.68056373845421
36.12690007985548,46.91379425778174,48.794484305506536,35.977097335538105,34.46169065019948
40.128175488061,42.37803707680715,44.25913023543259,32.60186382260396,31.086478862213273
44.1739235443016,38.627385815633865,40.50891480849536,29.81074669346709,28.295335136407864
48.184599467121835,35.53098496259073,37.412973091552736,27.506411486746035,25.99092617243715
52.18885981064996,32.91437187227018,34.79684438474192,25.55905977804986,24.0434545220789
56.239338482521305,30.64670265893394,32.52969065496733,23.871340688953666,22.35556778793001
60.19226323209148,28.727963754413825,30.611478709155477,22.443266980604655,20.92728625180743
64.19140848941954,27.02731985168556,28.911391116208147,21.177479411650854,19.661244644666212
68.26151591175592,25.501157466171314,27.385818031481577,20.041529254534172,18.52499139301798
72.32314161859745,24.149468822563453,26.03473989325033,19.035422032712262,17.51853755609798
76.27602587710379,22.972243198671105,24.85812918764483,18.159160183955148,16.641896615463786
80.34191211788757,21.88227121704516,23.768810305977656,17.347837707134822,15.830141822767123
84.29610018632947,20.923145066944475,22.810338641233145,16.63390869700588,15.115751686841287
88.24439527702405,20.051259575762906,21.93912499307177,15.984920510683304,14.466263543988925
92.35381564531684,19.223017542517137,21.111600967997596,15.368425982546107,13.849207241643679
96.36919893424367,18.482006396713818,20.371309188393536,14.816872568355242,13.297064601759542
100.48095142210471,17.784631881086746,19.674688833235738,14.297814681280594,12.777362556998103
104.37771962129992,17.174473026143303,19.06526045944694,13.843689500991696,12.322589241354391
108.2768873083025,16.607938971426503,18.499472097304697,13.422053297940126,11.900268226690079
112.47867696504261,16.041451135706218,17.933803717924885,13.00047694325998,11.477913725005775
116.29739747928787,15.56215628376347,17.455267352006995,12.643814312428923,11.120508104064212
120.38452646418295,15.08290403323847,16.97684080779928,12.287212405274948,10.763073615170898
